# EVOLUÇÃO DO VALOR MÉDIO/MEDIANO DO CIMENTO PORTLAND 32 - em R$/Kg																							
# Fonte: Sinduscons Estaduais e Banco de Dados-CBIC.																							
ANO	MÊS	AL	AM	BA	CE	DF	ES	GO	MA	MG	MS	MT	PA	PB	PE	PR	RJ	RO	RS	SC	SE	SP	Brasil
1994	JUN	...	0.1367	0.1280	0.1320	0.1041	0.1020	0.1125	0.1400	0.1100	0.1099	0.0889	0.1183	0.1300	0.1307	0.1100	0.1120	0.1408	0.1145	0.1200	...	0.0940	0.1176
1994	JUL	...	0.1400	0.1300	0.1300	0.1200	0.1000	0.1100	0.1400	0.1100	0.1100	0.1200	0.1300	0.1300	0.1300	0.1100	0.1100	0.1700	0.1100	0.1200	...	0.1000	0.1221
1994	AGO	...	0.1300	0.1200	0.1300	0.1200	0.1000	0.1100	0.1300	0.1100	0.1100	0.1100	0.1200	0.1300	0.1300	0.1100	0.1100	0.1700	0.1100	0.1200	...	0.1000	0.1195
1994	SET	...	0.1300	0.1300	0.1300	0.1100	0.1000	0.1100	0.1300	0.1100	0.1100	0.1100	0.1200	0.1300	0.1300	0.1100	0.1100	0.1700	0.1100	0.1100	...	0.1000	0.1189
1994	OUT	...	0.1300	0.1100	0.1300	0.1100	0.1000	0.1200	0.1300	0.1100	0.1100	0.1000	0.1300	0.1300	0.1200	0.1000	0.1100	0.1700	0.1100	0.1200	...	0.1000	0.1179
1994	NOV	...	0.1300	0.1100	0.1300	0.1100	0.1000	0.1200	0.1400	0.1100	0.1100	0.1000	0.1300	0.1300	0.1300	0.1000	0.1100	0.1600	0.1100	0.1200	...	0.1000	0.1184
1994	DEZ	...	0.1400	0.1100	0.1300	0.1100	0.1000	0.1100	0.1400	0.1100	0.1100	0.1000	0.1400	0.1300	0.1300	0.1000	0.1100	0.1500	0.1100	0.1200	...	0.1000	0.1184
1995	JAN	...	0.1400	0.1100	0.1300	0.1100	0.1000	0.1100	0.1400	0.1100	0.1100	0.1000	0.1300	0.1300	0.1300	0.1100	0.1100	0.1500	0.1100	0.1100	...	0.1000	0.1179
1995	FEV	...	0.1400	0.1100	0.1300	0.1100	0.1000	0.1100	0.1400	0.1100	0.1100	0.1100	0.1300	0.1300	0.1300	0.1000	0.1100	0.1600	0.1100	0.1100	...	0.1000	0.1184
1995	MAR	...	0.1400	0.1200	0.1300	0.1100	0.1000	0.1200	0.1300	0.1100	0.1300	0.1000	0.1300	0.1300	0.1300	0.1000	0.1100	0.1500	0.1100	0.1100	...	0.1100	0.1195
1995	ABR	...	0.1400	0.1200	0.1300	0.1100	0.1000	0.1200	0.1200	0.1100	0.1200	0.1100	0.1300	0.1300	0.1300	0.1000	0.1100	0.1600	0.1100	0.1200	...	0.1200	0.1205
1995	MAI	...	0.1400	0.1200	0.1300	0.1100	0.1000	0.1200	0.1200	0.1100	0.1200	0.1100	0.1400	0.1300	0.1300	0.1000	0.1100	0.1500	0.1100	0.1200	...	0.1200	0.1205
1995	JUN	...	0.1400	0.1200	0.1300	0.1100	0.1000	0.1200	0.1100	0.1000	0.1300	0.1100	0.1400	0.1400	0.1300	0.1100	0.1100	0.1500	0.1100	0.1200	...	0.1200	0.1211
1995	JUL	...	0.1400	0.1200	0.1300	0.1100	0.1000	0.1200	0.1200	0.1000	0.1200	0.1100	0.1400	0.1400	0.1300	0.1100	0.1100	0.1500	0.1100	0.1200	...	0.1200	0.1211
1995	AGO	...	0.1400	0.1200	0.1300	0.1100	0.1000	0.1200	0.1000	0.1000	0.1300	0.1100	0.1400	0.1400	0.1300	0.1100	0.1100	0.1500	0.1100	0.1200	...	0.1200	0.1205
1995	SET	...	0.1400	0.1200	0.1300	0.1100	0.1000	0.1200	0.1200	0.1000	0.1300	0.1200	0.1400	0.1400	0.1300	0.1100	0.1100	0.1500	0.1100	0.1200	...	0.1100	0.1216
1995	OUT	...	0.1400	0.1100	0.1300	0.1100	0.1000	0.1200	0.1200	0.1100	0.1300	0.1200	0.1400	0.1400	0.1300	0.1100	0.1100	0.1500	0.1100	0.1200	...	0.1100	0.1216
1995	NOV	...	0.1400	0.1100	0.1300	0.1100	0.1000	0.1200	0.1200	0.1000	0.1300	0.1200	0.1400	0.1300	0.1300	0.1100	0.1100	0.1500	0.1100	0.1200	...	0.1000	0.1200
1995	DEZ	...	0.1400	0.1300	0.1300	0.1100	0.1000	0.1100	0.1300	0.0900	0.1200	0.1200	0.1400	0.1400	0.1400	0.1000	0.1100	0.1500	0.1100	0.1200	...	0.1000	0.1205
1996	JAN	...	0.1400	0.1300	0.1400	0.1100	0.1000	0.0900	0.1300	0.0900	0.1300	0.1200	0.1400	0.1400	0.1400	0.1000	0.1100	0.1600	0.1100	0.1200	...	0.1000	0.1211
1996	FEV	...	0.1500	0.1300	0.1400	0.0900	0.1000	0.0900	0.1200	0.0800	0.1100	0.1100	0.1400	0.1300	0.1400	0.1000	0.1100	0.1600	0.1100	0.1200	...	0.1000	0.1174
1996	MAR	...	0.1500	0.1300	0.1400	0.0900	0.1000	0.0800	...	0.0800	0.1100	0.1000	0.1400	0.1400	0.1400	0.1000	0.1100	0.1700	0.1100	0.1100	...	0.1000	0.1167
1996	ABR	...	0.1500	0.1300	0.1400	0.0800	0.0900	0.0800	...	0.0700	0.1000	0.0900	0.1400	0.1400	0.1400	0.0900	0.1000	0.1700	0.1100	0.1100	...	0.0900	0.1122
1996	MAI	...	0.1500	0.1300	0.1400	0.0800	0.0900	0.0800	...	0.0800	0.1000	0.0900	0.1400	0.1400	0.1400	0.0900	0.1000	0.1700	0.1100	0.1200	...	0.0900	0.1133
1996	JUN	...	0.1500	0.1300	0.1400	0.0800	0.1000	0.0800	...	0.0800	0.1000	0.0900	0.1400	0.1400	0.1400	0.1000	0.1000	0.1600	0.1200	0.1200	...	0.0900	0.1144
1996	JUL	...	0.1500	0.1300	0.1400	0.0900	0.1000	0.0900	0.1400	0.0900	0.1100	0.1000	0.1400	0.1300	0.1300	0.1000	0.1000	0.1600	0.1200	0.1200	...	0.0900	0.1174
1996	AGO	...	0.1500	0.1300	0.1400	0.0900	0.0900	0.0900	0.1400	0.0900	0.1100	0.1000	0.1400	0.1300	0.1400	0.1100	0.1000	0.1600	0.1200	0.1200	...	0.0900	0.1179
1996	SET	...	0.1300	0.1300	0.1400	0.0900	0.0900	0.0900	0.1400	0.0800	0.1100	0.1000	0.1400	0.1300	0.1400	0.1100	0.1000	0.1600	0.1200	0.1200	...	0.0900	0.1163
1996	OUT	...	0.1300	0.1300	0.1400	0.1000	0.0900	0.1000	0.1400	0.0800	0.1200	0.1100	0.1400	0.1400	0.1400	0.1100	0.1000	0.1600	0.1200	0.1200	...	0.0900	0.1189
1996	NOV	...	0.1300	0.1300	0.1200	0.1000	0.0800	0.1000	0.1400	0.0800	0.1200	0.1100	0.1400	0.1400	0.1400	0.1100	0.1000	0.1700	0.1200	0.1200	...	0.0900	0.1179
1996	DEZ	...	0.1300	0.1300	0.1400	0.1100	0.0900	0.1100	0.1400	0.0900	0.1200	0.1100	0.1400	0.1300	0.1400	0.1100	0.1000	0.1700	0.1200	0.1200	...	0.1000	0.1211
1997	JAN	...	0.1300	0.1300	0.1400	0.1100	0.1000	0.1100	0.1400	0.1000	0.1200	0.1100	0.1400	0.1300	0.1300	0.1100	0.1000	0.1700	0.1200	0.1300	...	0.1000	0.1221
1997	FEV	...	0.1300	0.1200	0.1400	0.1100	0.1100	0.1100	0.1400	0.1100	0.1300	0.1200	0.1400	0.1300	0.1300	0.1100	0.1000	0.1700	0.1200	0.1300	...	0.1100	0.1242
1997	MAR	...	...	0.1300	0.1400	0.1100	0.1100	0.1200	0.1300	0.1100	0.1300	0.1100	0.1400	0.1300	0.1400	0.1100	0.1100	0.1700	0.1200	0.1300	...	0.1100	0.1250
1997	ABR	...	0.1300	0.1200	0.1400	0.1100	0.1100	0.1200	0.1300	0.1100	0.1300	0.1200	0.1400	0.1300	0.1400	0.1100	0.1100	0.1700	0.1200	0.1300	...	0.1100	0.1253
1997	MAI	0.1300	0.1400	0.1100	0.1400	0.1200	0.1100	0.1200	0.1400	0.1100	0.1300	0.1200	0.1400	0.1300	0.1400	0.1100	0.1100	0.1700	0.1200	0.1400	...	0.1100	0.1270
1997	JUN	0.1300	0.1400	0.1100	0.1400	0.1200	0.1000	0.1200	0.1400	0.1100	0.1300	0.1200	0.1400	0.1200	0.1400	0.1200	0.1100	0.1700	0.1300	0.1400	...	0.1100	0.1270
1997	JUL	0.1000	0.1400	0.1100	0.1400	0.1200	0.1100	0.1200	0.1400	0.1100	0.1300	0.1200	0.1400	0.1200	0.1400	0.1200	0.1100	0.1700	0.1300	0.1400	...	0.1100	0.1260
1997	AGO	0.0900	0.1300	0.1000	0.1300	0.1200	0.1100	0.1200	...	0.1100	0.1300	0.1200	0.1400	0.1100	0.1400	0.1200	0.1100	0.1700	0.1300	0.1400	...	0.1100	0.1226
1997	SET	0.0900	0.1300	0.1000	0.1300	0.1300	0.1100	0.1300	...	0.1200	0.1300	0.1300	0.1400	0.1000	0.1300	0.1200	0.1100	0.1700	0.1300	0.1400	...	0.1200	0.1242
1997	OUT	0.0900	...	0.0900	0.1000	0.1300	0.1200	0.1300	...	0.1200	0.1400	0.1300	0.1400	0.1000	0.0900	0.1200	0.1100	0.1700	0.1300	0.1400	...	0.1200	0.1206
1997	NOV	0.1000	0.1400	0.0900	0.0900	0.1200	0.1200	0.1300	...	0.1200	0.1400	0.1300	0.1500	0.1000	0.0900	0.1200	0.1200	0.1800	0.1300	0.1400	...	0.1200	0.1226
1997	DEZ	0.0900	0.1400	0.0900	0.0900	0.1200	0.1200	0.1300	...	0.1300	0.1300	0.1300	0.1500	0.0900	0.0900	0.1200	0.1200	0.1800	0.1300	0.1500	...	0.1200	0.1221
1998	JAN	0.0900	0.1400	0.1000	0.0900	0.1200	0.1200	0.1300	0.1400	0.1200	0.1400	0.1400	0.1500	0.0900	0.0900	0.1200	0.1200	0.1800	0.1400	0.1500	...	0.1200	0.1245
1998	FEV	0.0900	0.1500	0.1100	0.1000	0.1300	0.1200	0.1300	...	0.1200	0.1400	0.1400	0.1500	0.0900	0.0900	0.1200	0.1200	0.1800	0.1400	0.1500	...	0.1200	0.1258
1998	MAR	0.1100	0.1500	0.1100	0.1000	0.1300	0.1200	0.1300	...	0.1300	0.1400	0.1400	0.1500	0.1000	0.1000	0.1300	0.1300	0.1800	0.1400	0.1500	...	0.1300	0.1300
1998	ABR	0.1100	0.1500	0.1100	0.1100	0.1300	0.1200	0.1300	...	0.1300	0.1500	0.1400	0.1500	0.1200	0.1000	0.1300	0.1300	0.1800	0.1400	0.1500	...	0.1300	0.1321
1998	MAI	0.1100	0.1500	0.1100	0.1100	0.1300	0.1300	0.1200	0.1400	0.1300	0.1500	0.1400	0.1500	0.1200	0.1100	0.1300	0.1300	0.1700	0.1400	0.1500	...	0.1300	0.1325
